Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Loyal Customer,31,Personal Travel,Eco,1599,3,3,3,3,3,5,4,5,5,5,5,4,5,5,0,0.0,1
disloyal Customer,27,Business travel,Eco,1786,2,3,2,3,4,2,4,4,3,4,4,3,4,4,0,0.0,0
disloyal Customer,40,Business travel,Eco,973,2,0,2,2,4,2,2,4,1,3,1,2,1,4,0,0.0,0
Loyal Customer,9,Personal Travel,Eco,2757,1,2,1,3,2,1,2,2,4,2,4,1,4,2,0,0.0,0
Loyal Customer,34,Business travel,Business,1197,2,2,2,2,3,4,5,5,5,5,5,4,5,3,0,0.0,1
Loyal Customer,51,Personal Travel,Eco,1568,3,4,2,3,5,2,2,5,5,2,3,2,5,5,2,0.0,0
Loyal Customer,17,Personal Travel,Eco,2510,0,5,0,3,4,0,4,4,3,5,5,3,4,4,0,0.0,1
Loyal Customer,33,Business travel,Business,922,3,3,3,3,4,5,5,5,5,5,5,4,5,4,1,20.0,1
Loyal Customer,43,Personal Travel,Eco,1060,4,4,4,4,5,5,4,4,4,4,4,4,4,4,1,0.0,1
Loyal Customer,40,Business travel,Business,2444,1,4,4,4,2,3,4,1,1,1,1,1,1,2,26,15.0,0
Loyal Customer,66,Personal Travel,Eco,1675,3,5,3,4,1,3,1,1,5,2,5,4,5,1,18,26.0,0
Loyal Customer,29,Business travel,Business,3446,5,5,5,5,4,4,4,4,3,5,4,4,4,4,0,0.0,1
Loyal Customer,42,Business travel,Business,3022,2,2,2,2,4,4,4,3,3,3,3,5,3,5,106,81.0,1
Loyal Customer,47,Personal Travel,Eco,1065,3,5,3,5,5,4,5,1,1,3,1,4,1,5,11,11.0,0
Loyal Customer,40,Business travel,Business,1744,5,5,5,5,3,5,4,3,3,2,3,4,3,5,78,77.0,1
disloyal Customer,26,Business travel,Business,2390,1,1,1,1,4,1,4,4,4,3,5,5,4,4,0,0.0,0
Loyal Customer,60,Personal Travel,Eco,1784,3,4,3,1,5,3,2,5,3,2,4,4,4,5,0,0.0,0
disloyal Customer,22,Business travel,Eco,1810,1,4,1,4,3,1,4,3,1,1,4,1,3,3,0,0.0,0
disloyal Customer,20,Business travel,Business,2488,5,0,5,3,4,5,4,4,3,2,4,3,4,4,1,0.0,1
Loyal Customer,54,Personal Travel,Eco,237,0,5,0,1,4,4,5,3,3,0,5,3,3,4,0,0.0,1
Loyal Customer,29,Personal Travel,Business,2709,3,5,3,3,4,3,4,4,4,2,4,4,4,4,0,1.0,0
Loyal Customer,57,Personal Travel,Eco,2011,1,4,1,3,2,1,2,2,3,4,4,4,5,2,8,3.0,0
Loyal Customer,48,Business travel,Business,2404,4,4,4,4,3,4,5,2,2,2,2,4,2,4,0,2.0,1
Loyal Customer,36,Business travel,Business,3626,3,3,3,3,4,4,4,5,5,5,5,4,5,1,1,0.0,1
Loyal Customer,45,Personal Travel,Eco,1423,2,2,2,2,1,1,2,4,4,5,4,4,4,3,0,95.0,1
disloyal Customer,18,Business travel,Eco Plus,1516,3,5,3,3,1,3,1,1,1,4,1,2,5,1,0,0.0,0
Loyal Customer,33,Business travel,Business,1800,5,5,5,5,5,2,2,5,5,5,3,4,5,1,0,0.0,1
disloyal Customer,50,Business travel,Eco,1447,3,4,3,4,1,3,1,1,1,1,3,3,3,1,6,3.0,0
disloyal Customer,25,Business travel,Business,1615,2,5,2,1,1,2,1,1,3,3,5,3,4,1,13,2.0,0
disloyal Customer,27,Business travel,Business,1577,5,5,5,4,3,5,3,3,3,2,3,4,5,3,0,0.0,1
Loyal Customer,35,Business travel,Business,1794,0,5,0,1,4,4,4,5,5,5,5,3,5,4,0,0.0,1
Loyal Customer,58,Business travel,Business,1797,1,1,2,1,5,4,4,5,5,5,5,3,5,4,0,0.0,1
Loyal Customer,39,Business travel,Eco,1797,5,4,4,4,5,5,5,5,3,3,3,3,5,5,0,0.0,1
disloyal Customer,35,Business travel,Eco,1951,3,2,3,4,1,3,1,1,4,1,3,1,3,1,17,16.0,0
Loyal Customer,48,Business travel,Business,3077,5,5,5,5,1,3,3,5,5,5,4,4,5,2,0,0.0,1
Loyal Customer,54,Business travel,Business,101,4,4,4,4,3,3,1,5,5,5,4,1,5,1,3,0.0,1
Loyal Customer,49,Business travel,Business,1799,5,5,5,5,3,4,5,4,4,4,4,3,4,5,7,0.0,1
Loyal Customer,48,Business travel,Eco,2618,3,1,1,1,3,3,3,3,1,3,3,2,4,3,34,12.0,0
disloyal Customer,35,Business travel,Business,3781,3,3,3,4,2,3,3,2,3,3,5,3,5,2,0,0.0,0
Loyal Customer,44,Business travel,Eco,1945,2,4,4,4,3,2,3,3,3,5,2,3,2,3,0,9.0,0
Loyal Customer,51,Personal Travel,Eco,1567,3,2,3,4,4,3,4,4,4,4,4,3,3,4,0,0.0,0
Loyal Customer,44,Personal Travel,Eco,345,4,4,4,4,2,4,5,4,4,4,4,3,4,5,21,10.0,1
Loyal Customer,43,Business travel,Business,2157,2,2,2,2,4,5,4,4,4,4,4,5,4,5,0,0.0,1
Loyal Customer,47,Business travel,Eco,1090,4,5,5,5,1,3,1,4,4,4,4,3,4,3,0,0.0,1
Loyal Customer,63,Personal Travel,Eco,988,2,4,2,2,5,5,5,4,4,4,4,5,4,5,0,8.0,1
Loyal Customer,46,Business travel,Business,3755,2,2,2,2,4,4,3,4,4,4,5,2,4,1,22,24.0,1
Loyal Customer,71,Business travel,Eco Plus,651,4,2,2,2,1,4,4,4,4,4,4,2,4,2,0,0.0,0
Loyal Customer,26,Personal Travel,Eco,1232,3,4,3,3,2,3,1,2,4,4,4,4,4,2,73,65.0,0
Loyal Customer,25,Business travel,Business,2439,2,1,1,1,2,2,2,2,2,3,4,2,4,2,0,0.0,0
Loyal Customer,45,Business travel,Business,2701,3,3,3,3,2,4,4,4,4,4,4,5,4,4,0,0.0,1
