Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Loyal Customer,53,Business travel,Business,5822,3,3,3,3,4,4,4,4,4,5,4,4,4,4,262,316.0,1
Loyal Customer,55,Business travel,Business,1592,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,1
Loyal Customer,12,Personal Travel,Business,1694,1,1,1,4,1,3,5,2,1,4,3,5,2,5,156,168.0,0
Loyal Customer,10,Personal Travel,Eco,1576,3,4,0,2,3,0,3,3,5,4,5,4,4,3,0,0.0,0
Loyal Customer,50,Business travel,Business,3409,2,2,2,2,5,4,1,4,4,4,3,4,4,1,0,0.0,1
Loyal Customer,56,Business travel,Business,604,1,1,1,1,5,5,4,4,4,4,4,4,4,4,0,0.0,1
Loyal Customer,12,Personal Travel,Eco,1302,3,3,3,3,4,5,4,4,4,4,4,4,4,5,0,0.0,1
Loyal Customer,33,Business travel,Eco,1659,1,2,2,2,1,1,1,1,3,5,3,1,3,1,13,12.0,0
Loyal Customer,39,Business travel,Business,3244,3,3,3,3,4,4,5,4,4,4,5,5,4,5,0,0.0,1
Loyal Customer,49,Business travel,Business,280,4,2,2,2,2,3,4,4,4,4,4,1,4,3,0,0.0,0
disloyal Customer,24,Business travel,Business,1724,4,4,4,1,1,4,1,1,3,3,4,4,5,1,8,0.0,1
disloyal Customer,24,Business travel,Eco,2462,2,2,2,5,2,2,2,2,4,3,5,5,5,2,2,0.0,0
disloyal Customer,27,Business travel,Eco,3824,4,4,4,2,2,4,2,2,3,5,4,1,1,2,0,0.0,0
Loyal Customer,31,Business travel,Business,4027,1,1,3,1,4,5,5,4,5,4,1,5,3,4,0,0.0,1
Loyal Customer,49,Personal Travel,Eco Plus,578,1,1,1,1,5,5,4,4,4,4,4,4,4,3,6,0.0,1
disloyal Customer,26,Business travel,Business,1378,5,5,4,2,2,4,2,2,4,5,5,4,4,2,0,17.0,1
Loyal Customer,57,Personal Travel,Eco,742,0,5,1,4,3,1,3,3,5,4,5,4,4,3,2,3.0,1
Loyal Customer,62,Business travel,Business,2217,4,5,5,5,5,3,3,4,4,3,4,4,4,3,20,16.0,0
Loyal Customer,16,Personal Travel,Eco,1897,0,0,0,1,3,4,4,2,2,2,2,4,2,5,27,20.0,1
Loyal Customer,38,Personal Travel,Eco,1797,3,5,3,4,4,3,4,4,5,1,4,3,1,4,0,0.0,0
Loyal Customer,11,Personal Travel,Eco,2264,1,5,1,1,5,1,5,5,3,5,4,3,5,5,0,3.0,0
Loyal Customer,38,Business travel,Eco,1217,2,4,4,4,2,2,2,2,2,3,3,1,4,2,0,0.0,0
Loyal Customer,14,Personal Travel,Eco,2606,2,3,2,4,2,2,2,2,3,5,4,4,3,2,20,12.0,0
Loyal Customer,51,Personal Travel,Business,1814,2,3,2,4,2,3,4,3,3,2,3,2,3,4,0,0.0,0
disloyal Customer,25,Business travel,Business,1124,4,0,4,2,5,4,5,5,3,5,4,5,4,5,10,0.0,0
Loyal Customer,32,Personal Travel,Eco,1463,3,2,3,1,4,3,4,4,4,2,1,2,2,4,10,9.0,0
Loyal Customer,68,Personal Travel,Eco,1067,3,3,3,4,3,3,5,3,2,4,4,3,3,3,2,0.0,0
Loyal Customer,51,Business travel,Business,457,2,2,4,2,2,5,5,5,5,4,5,4,5,5,14,0.0,1
Loyal Customer,59,Personal Travel,Eco Plus,1508,3,5,3,1,2,3,2,2,5,4,5,4,5,2,6,2.0,0
