Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Loyal Customer,53,Business travel,Eco,1863,4,2,2,2,4,4,4,4,1,3,4,1,3,4,0,0.0,0
Loyal Customer,34,Business travel,Business,1066,5,5,5,5,3,5,3,5,5,5,5,4,5,2,7,0.0,1
Loyal Customer,34,Personal Travel,Eco,2065,4,4,4,5,5,4,4,5,3,1,2,2,4,5,0,0.0,0
disloyal Customer,44,Business travel,Business,2433,1,1,1,2,3,1,3,3,2,3,1,1,2,3,0,0.0,0
Loyal Customer,46,Business travel,Business,2047,4,4,4,4,4,5,5,4,4,4,4,4,4,5,18,23.0,1
disloyal Customer,19,Business travel,Eco,1179,5,0,5,4,5,5,5,5,4,5,1,1,2,5,0,0.0,1
Loyal Customer,52,Personal Travel,Eco,362,5,5,5,5,2,5,5,5,5,5,5,4,5,3,21,11.0,1
Loyal Customer,35,Personal Travel,Eco,2179,1,1,1,1,3,5,5,5,5,5,5,3,5,5,70,90.0,1
Loyal Customer,54,Personal Travel,Eco Plus,2298,3,2,3,4,2,3,2,2,2,4,4,1,4,2,75,89.0,0
Loyal Customer,11,Personal Travel,Eco,2197,5,4,5,3,4,5,4,4,3,4,5,4,5,4,0,0.0,1
Loyal Customer,39,Business travel,Business,2445,5,5,5,5,5,5,5,3,3,3,3,4,3,5,0,7.0,1
Loyal Customer,56,Business travel,Business,3983,3,3,3,3,5,5,5,5,2,5,5,5,3,5,118,161.0,1
Loyal Customer,38,Business travel,Eco,2702,5,4,4,4,5,5,5,5,2,4,1,2,5,5,29,34.0,1
Loyal Customer,32,Business travel,Business,4818,4,5,4,4,4,4,4,4,1,1,4,2,3,4,31,31.0,0
Loyal Customer,57,Business travel,Business,2118,5,5,5,5,3,4,4,4,4,4,4,4,4,5,0,0.0,1
disloyal Customer,33,Business travel,Eco,1909,2,4,2,3,4,2,4,4,2,5,3,2,4,4,40,35.0,0
Loyal Customer,14,Personal Travel,Eco,1579,4,2,4,4,1,4,1,1,4,3,3,2,4,1,92,86.0,1
disloyal Customer,30,Business travel,Eco,1441,1,3,1,3,1,1,1,1,1,5,3,4,3,1,2,6.0,0
Loyal Customer,40,Business travel,Eco,1132,5,1,1,1,5,5,5,5,1,4,4,3,1,5,4,5.0,1
Loyal Customer,32,Business travel,Eco,2869,0,0,0,2,3,0,3,3,1,1,2,5,2,3,94,76.0,1
Loyal Customer,36,Personal Travel,Eco,1033,2,4,4,2,2,4,2,2,5,5,5,5,4,2,1,0.0,0
Loyal Customer,58,Business travel,Business,1699,1,1,1,1,5,3,5,5,5,5,5,5,5,3,0,0.0,1
Loyal Customer,47,Business travel,Business,635,1,4,3,4,3,4,3,1,1,2,1,4,1,1,14,15.0,0
Loyal Customer,40,Business travel,Eco Plus,1623,4,2,2,2,4,4,4,4,3,2,3,5,4,4,0,0.0,1
Loyal Customer,36,Personal Travel,Eco,2438,3,4,4,5,1,4,1,1,3,2,5,5,4,1,0,18.0,0
Loyal Customer,38,Business travel,Business,2972,2,5,5,5,2,4,4,2,2,2,2,4,2,3,7,23.0,0
disloyal Customer,43,Business travel,Eco,1987,2,2,2,4,5,2,5,5,1,1,4,4,3,5,0,0.0,0
Loyal Customer,55,Business travel,Business,2170,5,5,5,5,5,4,4,5,5,5,5,5,5,3,11,12.0,1
Loyal Customer,19,Personal Travel,Eco,2802,4,1,3,2,1,3,1,1,4,2,2,3,1,1,3,0.0,1
disloyal Customer,17,Business travel,Eco,2321,2,2,2,3,1,2,1,1,1,1,3,3,4,1,48,35.0,0
Loyal Customer,28,Personal Travel,Eco,2025,1,4,1,5,2,1,2,2,4,2,5,4,4,2,0,0.0,0
disloyal Customer,34,Business travel,Business,1941,3,3,3,2,3,3,3,3,3,5,5,4,4,3,0,0.0,0
Loyal Customer,62,Personal Travel,Business,703,4,5,4,3,3,2,4,4,4,4,4,4,4,5,29,25.0,0
Loyal Customer,50,Business travel,Business,795,1,1,1,1,2,4,5,5,5,5,5,3,5,5,0,0.0,1
Loyal Customer,41,Business travel,Business,624,2,2,3,2,4,4,5,4,4,4,4,3,4,5,0,0.0,1
Loyal Customer,62,Personal Travel,Eco,2246,3,4,4,4,4,5,3,2,1,2,3,3,4,3,140,127.0,0
Loyal Customer,26,Personal Travel,Eco,2092,3,3,3,3,4,4,4,2,3,4,2,4,3,4,125,126.0,1
Loyal Customer,42,Business travel,Eco,1697,5,3,5,3,5,5,5,5,1,4,1,4,3,5,2,0.0,1
Loyal Customer,43,Personal Travel,Eco Plus,2985,3,5,2,1,4,2,4,4,3,2,3,4,5,4,1,0.0,0
Loyal Customer,50,Business travel,Business,50,5,5,5,5,2,5,5,4,4,4,5,5,4,4,0,0.0,1
Loyal Customer,42,Business travel,Business,697,1,1,1,1,3,5,5,4,4,4,4,3,4,5,0,0.0,1
Loyal Customer,23,Personal Travel,Eco,2622,4,5,4,3,3,4,3,3,5,3,4,5,4,3,0,0.0,0
Loyal Customer,53,Business travel,Business,2779,2,2,2,2,2,5,3,5,5,5,5,5,5,5,97,102.0,1
Loyal Customer,33,Business travel,Business,4640,3,3,4,3,4,4,5,4,4,5,3,5,5,4,0,0.0,1
Loyal Customer,45,Business travel,Business,2416,2,2,2,2,2,4,4,4,4,4,4,4,4,3,21,21.0,1
disloyal Customer,22,Business travel,Business,1826,4,0,4,5,5,4,5,5,5,4,2,5,1,5,0,4.0,1
disloyal Customer,16,Business travel,Eco,1897,4,4,4,4,1,4,1,1,2,5,5,5,5,1,0,0.0,1
Loyal Customer,36,Business travel,Business,3171,1,1,1,1,5,4,4,4,4,4,4,3,4,3,0,0.0,1
disloyal Customer,38,Business travel,Eco,1784,4,4,4,1,2,4,2,2,1,3,5,3,2,2,0,0.0,0
Loyal Customer,46,Personal Travel,Eco,240,4,5,5,5,1,3,5,4,4,4,4,1,4,2,0,0.0,1
Loyal Customer,62,Personal Travel,Eco Plus,1249,2,2,2,2,3,5,4,3,3,3,3,3,3,3,3,1.0,1
Loyal Customer,27,Business travel,Business,2121,3,4,2,4,3,3,3,3,3,4,4,2,4,3,6,8.0,0
Loyal Customer,37,Business travel,Eco Plus,1851,5,1,1,1,5,5,5,5,4,1,4,2,1,5,0,0.0,1
disloyal Customer,28,Business travel,Business,1807,4,5,5,1,5,5,5,5,3,2,4,4,4,5,0,6.0,1
Loyal Customer,55,Business travel,Business,3933,3,5,2,5,1,3,4,3,3,4,3,1,3,1,0,0.0,0
Loyal Customer,46,Business travel,Business,2626,5,5,5,5,4,4,4,4,5,4,5,4,4,4,0,0.0,1
Loyal Customer,60,Business travel,Business,2853,2,2,2,2,5,4,4,2,2,2,2,4,2,3,0,0.0,0
Loyal Customer,43,Business travel,Business,3659,3,3,3,3,5,5,4,5,5,5,5,3,5,3,67,61.0,1
Loyal Customer,65,Business travel,Business,2192,2,2,2,2,3,4,5,3,3,3,3,4,3,3,0,0.0,1
disloyal Customer,23,Business travel,Eco,2694,1,1,1,3,1,1,1,1,5,4,1,1,5,1,0,0.0,0
Loyal Customer,40,Business travel,Business,383,5,5,5,5,3,2,3,5,5,4,5,1,5,1,0,24.0,1
Loyal Customer,44,Business travel,Business,2697,1,1,3,1,2,5,4,5,5,4,5,4,5,3,0,0.0,1
Loyal Customer,47,Business travel,Business,1875,4,4,4,4,3,4,5,4,4,5,4,4,4,5,2,0.0,1
Loyal Customer,43,Business travel,Eco Plus,1799,5,3,5,5,5,5,5,5,2,3,5,2,4,5,0,0.0,1
Loyal Customer,30,Business travel,Eco Plus,4264,4,4,4,4,4,4,4,4,1,3,4,5,1,4,0,0.0,1
disloyal Customer,22,Business travel,Business,1632,5,0,5,3,1,5,1,1,3,4,4,5,5,1,0,0.0,1
Loyal Customer,19,Personal Travel,Eco,1776,5,2,5,3,1,5,1,1,3,3,3,2,3,1,0,0.0,1
Loyal Customer,25,Business travel,Business,2217,3,3,3,3,5,5,5,5,1,5,1,4,4,5,0,0.0,1
disloyal Customer,36,Business travel,Business,2048,2,2,2,3,3,2,4,3,5,3,4,4,5,3,0,0.0,0
