satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,Loyal Customer,24,Personal Travel,Eco,2354,0,0,0,3,3,2,5,5,5,4,4,2,5,5,0,0.0
1,Loyal Customer,53,Business travel,Business,913,2,2,2,2,4,5,5,4,4,4,4,4,4,3,19,19.0
1,Loyal Customer,18,Personal Travel,Eco,2667,5,5,4,3,4,4,4,4,4,5,4,4,4,4,0,0.0
0,Loyal Customer,33,Personal Travel,Eco,2832,1,5,0,3,0,1,1,4,2,5,5,1,4,1,726,691.0
1,Loyal Customer,44,Business travel,Business,2831,1,1,1,1,5,5,4,5,5,5,5,4,5,5,0,0.0
1,Loyal Customer,47,Business travel,Eco,1254,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0
0,Loyal Customer,43,Personal Travel,Business,441,1,4,1,4,3,4,5,4,4,1,4,3,4,5,0,0.0
0,Loyal Customer,47,Personal Travel,Eco,2500,3,3,3,4,4,3,4,4,4,5,4,2,1,4,0,0.0
0,Loyal Customer,22,Business travel,Eco Plus,1344,3,2,2,2,3,3,2,3,4,5,4,1,3,3,0,7.0
1,Loyal Customer,56,Business travel,Business,1960,3,3,3,3,5,4,4,5,5,5,5,5,5,5,12,16.0
1,Loyal Customer,52,Business travel,Business,2770,1,1,1,1,5,5,5,4,4,4,4,4,4,4,0,0.0
1,disloyal Customer,30,Business travel,Business,1978,0,0,0,4,1,0,1,1,3,2,4,4,5,1,0,1.0
0,disloyal Customer,37,Business travel,Business,1972,3,4,4,1,1,4,1,1,5,2,5,1,4,1,0,0.0
0,Loyal Customer,10,Personal Travel,Eco Plus,2481,4,4,4,3,2,4,2,2,3,4,5,4,5,2,0,0.0
1,Loyal Customer,24,Business travel,Business,4735,2,2,2,2,5,4,5,5,4,2,5,3,5,5,61,69.0
1,Loyal Customer,37,Business travel,Business,664,2,2,2,2,2,4,4,5,5,5,5,3,5,4,0,0.0
1,Loyal Customer,40,Personal Travel,Eco,1392,5,4,5,3,2,5,1,2,5,5,5,3,5,2,0,0.0
1,Loyal Customer,44,Business travel,Business,2282,4,4,4,4,5,4,2,4,4,4,5,2,4,3,0,0.0
1,Loyal Customer,62,Personal Travel,Eco,1979,4,5,2,1,4,2,4,4,4,5,4,3,5,4,0,0.0
0,Loyal Customer,15,Personal Travel,Business,1687,3,1,3,1,4,3,4,4,1,3,1,2,2,4,0,0.0
0,Loyal Customer,11,Business travel,Eco,1597,3,2,2,2,3,3,3,3,4,5,3,3,4,3,14,21.0
0,Loyal Customer,62,Business travel,Business,3436,3,5,5,5,3,4,3,3,3,3,3,1,3,2,11,0.0
1,Loyal Customer,39,Business travel,Business,3587,3,2,3,3,2,4,4,3,3,4,3,4,3,3,20,115.0
1,Loyal Customer,38,Business travel,Business,202,4,4,4,4,4,4,4,5,5,5,4,4,5,3,0,0.0
0,Loyal Customer,55,Business travel,Business,305,2,5,3,3,5,2,2,2,2,2,2,3,2,2,0,9.0
0,disloyal Customer,34,Business travel,Eco,1634,3,3,3,3,2,3,2,2,1,5,3,2,3,2,0,9.0
1,Loyal Customer,63,Business travel,Eco,345,4,3,5,3,2,3,2,4,4,4,4,1,4,3,0,0.0
1,disloyal Customer,27,Business travel,Business,2548,4,4,4,2,1,4,1,1,5,2,5,3,4,1,3,0.0
1,Loyal Customer,39,Business travel,Business,1769,3,3,3,3,1,3,2,5,5,5,3,4,5,3,0,0.0
1,Loyal Customer,54,Business travel,Business,2417,4,4,4,4,4,5,5,4,4,4,4,4,4,5,0,0.0
1,Loyal Customer,41,Personal Travel,Eco,2354,5,5,5,5,5,5,4,3,3,4,3,5,3,5,0,0.0
0,disloyal Customer,33,Business travel,Eco,1252,2,2,2,3,5,2,5,5,1,4,3,1,3,5,0,0.0
0,Loyal Customer,60,Business travel,Business,317,3,4,3,4,1,3,3,3,3,3,3,1,3,4,0,2.0
0,disloyal Customer,24,Business travel,Eco,1550,3,5,2,3,1,2,2,1,4,4,4,3,4,1,36,30.0
1,Loyal Customer,38,Business travel,Eco,1255,5,2,2,2,5,5,5,5,3,2,5,3,2,5,75,65.0
1,Loyal Customer,62,Personal Travel,Eco,479,4,2,4,3,5,4,3,5,5,4,5,4,5,2,0,0.0
1,Loyal Customer,12,Personal Travel,Eco,2064,2,3,3,3,2,2,5,2,2,2,2,3,2,2,10,7.0
1,Loyal Customer,49,Personal Travel,Eco,595,2,2,2,2,4,4,4,4,1,3,1,2,2,4,0,3.0
1,Loyal Customer,31,Business travel,Business,2116,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0.0
1,Loyal Customer,50,Business travel,Business,1979,2,2,2,2,4,3,4,5,5,5,5,5,5,3,9,0.0
1,disloyal Customer,27,Business travel,Business,2241,5,5,5,3,3,5,3,3,3,3,5,5,5,3,12,36.0
1,disloyal Customer,18,Business travel,Business,2201,5,0,5,3,3,0,2,3,3,4,5,4,5,3,0,0.0
1,disloyal Customer,28,Business travel,Business,2510,5,5,5,2,3,5,2,3,4,4,4,5,4,3,57,54.0
0,Loyal Customer,64,Personal Travel,Eco,3119,4,1,4,4,1,4,1,1,2,4,2,3,4,1,0,0.0
1,Loyal Customer,52,Business travel,Business,3825,1,1,1,1,3,5,4,5,5,5,5,5,5,3,0,3.0
0,Loyal Customer,50,Business travel,Business,3865,2,5,5,5,5,2,1,2,2,2,2,4,2,2,23,54.0
0,Loyal Customer,46,Business travel,Eco,1214,3,2,5,5,4,3,4,4,1,1,2,1,1,4,19,17.0
0,disloyal Customer,37,Business travel,Business,2316,2,2,2,3,5,2,5,5,5,4,4,4,4,5,18,18.0
1,Loyal Customer,38,Personal Travel,Eco,1937,5,5,5,5,3,4,5,4,4,4,4,3,4,3,0,0.0
1,Loyal Customer,51,Business travel,Business,2749,1,1,1,1,5,5,4,3,3,3,3,3,3,5,51,34.0
0,disloyal Customer,36,Business travel,Eco,1289,3,2,4,4,3,4,3,3,4,2,4,2,3,3,8,0.0
1,disloyal Customer,20,Business travel,Business,1426,4,0,4,5,5,4,5,5,3,2,5,5,4,5,0,0.0
0,Loyal Customer,27,Personal Travel,Eco,2103,4,4,4,1,4,5,4,3,5,5,4,4,3,4,135,135.0
1,Loyal Customer,48,Business travel,Business,1790,3,3,2,3,4,4,4,4,4,4,4,4,4,3,12,12.0
1,Loyal Customer,39,Personal Travel,Eco,2921,1,1,3,1,2,4,4,4,4,4,5,4,4,4,0,1.0
1,Loyal Customer,10,Personal Travel,Eco,3399,4,4,4,4,5,5,4,4,4,4,4,5,4,3,0,4.0
0,Loyal Customer,56,Business travel,Eco,2432,4,2,2,2,4,4,4,4,3,5,4,4,4,4,0,0.0
1,Loyal Customer,12,Personal Travel,Eco,1591,4,4,0,1,2,0,5,2,4,3,4,4,4,2,10,3.0
0,Loyal Customer,61,Personal Travel,Eco Plus,1756,2,4,2,2,4,2,3,4,4,5,4,4,4,4,0,0.0
1,Loyal Customer,53,Business travel,Business,1407,1,1,5,1,3,4,5,4,4,4,4,5,4,3,0,0.0
1,disloyal Customer,27,Business travel,Business,1216,5,5,5,1,3,5,3,3,5,2,5,4,5,3,23,20.0
0,disloyal Customer,24,Business travel,Eco,1521,3,0,3,1,4,3,4,4,2,4,3,5,2,4,89,
0,Loyal Customer,54,Business travel,Business,3932,3,2,2,2,5,2,2,3,3,3,3,1,3,3,0,0.0
1,Loyal Customer,46,Personal Travel,Business,804,5,5,5,5,3,4,5,4,4,4,4,4,4,3,0,0.0
1,Loyal Customer,25,Business travel,Business,3168,5,5,5,5,5,5,5,5,5,5,4,3,4,5,12,0.0
1,Loyal Customer,62,Personal Travel,Eco,303,3,3,5,3,4,4,5,4,4,4,4,5,4,3,0,0.0
0,disloyal Customer,37,Business travel,Eco,2142,3,2,3,4,4,3,4,4,1,2,3,2,4,4,0,8.0
0,Loyal Customer,40,Business travel,Business,979,2,3,3,3,5,3,4,2,2,2,2,2,2,2,0,0.0
0,Loyal Customer,40,Personal Travel,Eco,1098,1,0,1,1,1,1,1,1,4,5,5,4,4,1,0,1.0
1,Loyal Customer,52,Business travel,Business,3422,5,5,5,5,5,5,5,4,4,4,4,5,4,5,80,63.0
1,Loyal Customer,41,Business travel,Business,2669,1,1,1,1,2,5,4,3,3,3,3,4,3,3,8,9.0
0,disloyal Customer,40,Business travel,Business,1761,3,3,3,1,5,3,5,5,3,3,4,3,5,5,0,0.0
0,Loyal Customer,18,Business travel,Business,1466,2,1,1,1,2,2,2,2,2,5,4,3,4,2,0,0.0
1,Loyal Customer,45,Business travel,Business,649,5,5,5,5,3,4,5,4,4,4,4,3,4,3,41,35.0
1,Loyal Customer,59,Business travel,Business,3899,4,4,4,4,3,1,1,4,4,4,4,5,4,5,0,0.0
0,Loyal Customer,43,Business travel,Eco Plus,2194,2,2,2,2,2,2,2,3,1,4,4,2,4,2,187,185.0
1,Loyal Customer,50,Personal Travel,Eco,379,0,4,0,1,5,5,5,5,5,0,4,5,5,4,0,0.0
0,disloyal Customer,33,Business travel,Business,2045,2,1,1,4,3,1,2,3,4,4,4,5,4,3,0,0.0
1,Loyal Customer,24,Personal Travel,Eco,3053,1,1,1,1,4,5,4,4,2,4,3,2,5,4,40,57.0
1,Loyal Customer,66,Personal Travel,Eco,982,5,5,5,5,2,4,4,5,5,5,5,2,5,1,0,0.0
1,Loyal Customer,62,Business travel,Business,2494,5,5,5,5,2,5,4,4,4,4,4,4,4,4,8,8.0
1,Loyal Customer,56,Business travel,Eco,451,2,5,5,5,4,1,2,2,2,2,2,3,2,2,0,0.0
1,Loyal Customer,10,Personal Travel,Eco,2407,4,5,4,2,4,4,4,4,3,3,5,4,5,4,32,27.0
1,Loyal Customer,38,Personal Travel,Eco Plus,2647,1,1,1,1,5,1,1,4,4,4,5,4,4,4,0,0.0
1,Loyal Customer,29,Business travel,Business,4684,2,2,2,2,4,5,4,4,3,3,4,4,4,4,0,0.0
1,Loyal Customer,27,Business travel,Business,4882,4,4,2,4,5,5,5,3,2,3,4,5,3,5,182,388.0
1,Loyal Customer,27,Business travel,Business,4208,2,2,2,2,5,5,5,5,3,4,5,3,5,5,0,0.0
0,Loyal Customer,36,Personal Travel,Eco,1614,2,4,2,4,2,1,1,2,1,5,2,1,3,1,178,163.0
0,Loyal Customer,54,Business travel,Business,3986,1,4,4,4,5,3,3,1,1,1,1,4,1,2,0,0.0
1,Loyal Customer,27,Personal Travel,Eco Plus,1178,3,3,3,3,2,5,5,5,5,5,5,4,5,5,0,0.0
1,Loyal Customer,36,Business travel,Business,1667,2,2,3,2,2,5,5,4,4,4,5,3,4,4,0,0.0
1,Loyal Customer,34,Business travel,Business,1266,5,5,5,5,5,5,4,4,4,4,4,5,4,3,57,46.0
0,Loyal Customer,53,Business travel,Business,2457,1,0,0,3,2,3,3,2,2,0,2,1,2,1,17,7.0
0,Loyal Customer,65,Personal Travel,Eco,2397,4,5,4,2,3,4,4,3,4,5,5,4,5,3,31,26.0
1,disloyal Customer,24,Business travel,Eco,2078,4,4,4,3,4,4,4,4,4,2,4,5,4,4,0,0.0
1,Loyal Customer,63,Personal Travel,Eco,289,4,4,4,4,5,5,5,5,5,3,5,4,5,5,49,45.0
0,Loyal Customer,66,Personal Travel,Business,341,4,3,4,4,1,3,3,1,1,4,1,1,1,1,0,0.0
1,Loyal Customer,40,Business travel,Eco,1124,4,4,4,4,4,5,4,4,2,5,4,2,3,4,0,0.0
1,Loyal Customer,16,Business travel,Eco,1785,5,4,4,4,5,4,4,5,5,1,1,1,4,5,0,4.0
1,Loyal Customer,52,Business travel,Business,555,5,5,5,5,5,5,4,4,4,4,4,3,4,4,0,0.0
1,Loyal Customer,57,Business travel,Business,3955,2,2,2,2,3,5,5,4,4,5,4,4,4,5,0,0.0
0,Loyal Customer,51,Personal Travel,Eco Plus,1898,2,0,2,3,5,2,1,5,4,3,3,3,5,5,52,30.0
1,Loyal Customer,39,Business travel,Business,351,4,2,4,4,5,5,5,4,4,4,4,3,4,3,0,0.0
1,Loyal Customer,48,Business travel,Eco Plus,421,5,1,1,1,2,4,2,5,5,5,5,5,5,5,0,8.0
0,Loyal Customer,65,Personal Travel,Eco,1094,3,5,3,5,3,4,4,1,1,3,1,3,1,4,0,0.0
0,disloyal Customer,26,Business travel,Eco,1757,1,1,1,3,1,1,1,1,1,3,3,2,3,1,3,13.0
1,Loyal Customer,37,Business travel,Business,1583,0,0,0,2,5,4,4,5,5,5,5,3,5,4,3,17.0
0,disloyal Customer,34,Business travel,Eco Plus,2591,2,2,2,3,4,2,4,4,4,5,4,3,3,4,0,0.0
1,Loyal Customer,58,Personal Travel,Eco,848,4,4,4,4,4,4,4,4,5,5,5,4,5,4,0,0.0
1,disloyal Customer,22,Business travel,Business,1389,5,0,5,2,4,0,4,4,4,3,5,4,5,4,0,0.0
1,Loyal Customer,44,Business travel,Eco Plus,3198,5,3,3,3,5,5,5,5,5,5,4,3,4,5,10,32.0
0,Loyal Customer,33,Business travel,Eco,1780,1,2,2,2,1,2,1,1,1,2,4,1,3,1,41,42.0
0,Loyal Customer,14,Personal Travel,Eco,1965,4,4,4,4,2,4,2,2,5,5,5,5,4,2,0,0.0
0,Loyal Customer,26,Business travel,Business,2815,4,5,4,4,3,3,4,3,3,4,4,2,3,3,22,44.0
1,Loyal Customer,19,Personal Travel,Eco,2665,5,2,5,3,5,5,5,5,4,1,4,1,3,5,6,0.0
1,Loyal Customer,45,Business travel,Business,1731,3,3,3,3,4,5,4,5,5,5,5,5,5,4,0,0.0
1,Loyal Customer,51,Business travel,Business,2634,3,3,3,3,4,4,4,3,4,5,5,4,3,4,42,27.0
1,Loyal Customer,49,Business travel,Eco Plus,1771,4,3,3,3,4,4,4,4,1,1,3,1,1,4,0,0.0
1,Loyal Customer,50,Business travel,Business,2040,3,3,3,3,4,5,4,4,4,4,4,3,4,3,0,0.0
1,Loyal Customer,36,Business travel,Business,2624,4,4,4,4,5,5,5,3,5,5,4,5,5,5,156,200.0
0,Loyal Customer,39,Personal Travel,Eco Plus,2079,4,1,4,4,1,4,1,1,1,5,3,3,3,1,0,0.0
1,Loyal Customer,38,Business travel,Eco,1657,5,3,3,3,5,5,5,5,4,2,3,5,1,5,73,70.0
0,disloyal Customer,25,Business travel,Eco,2185,3,3,3,3,4,3,4,4,5,4,4,4,4,4,0,0.0
1,Loyal Customer,35,Business travel,Business,3946,2,2,2,2,4,4,4,3,3,4,3,4,3,5,0,0.0
1,Loyal Customer,55,Business travel,Business,2419,4,3,4,4,2,5,5,5,5,5,5,4,5,4,0,0.0
1,Loyal Customer,33,Personal Travel,Eco Plus,2295,2,2,2,2,5,5,5,5,5,5,5,4,5,5,0,0.0
0,disloyal Customer,11,Business travel,Eco,1836,1,1,1,4,3,1,3,3,4,2,3,2,3,3,102,113.0
1,Loyal Customer,46,Business travel,Business,2933,3,3,3,3,2,4,4,4,4,4,4,3,4,5,5,10.0
1,Loyal Customer,51,Business travel,Business,2249,1,1,1,1,2,5,4,4,4,4,4,4,4,3,1,17.0
1,Loyal Customer,26,Business travel,Business,2144,2,2,4,2,5,5,5,5,4,4,4,3,5,5,29,26.0
1,Loyal Customer,46,Business travel,Business,2589,5,5,5,5,4,4,4,3,2,5,5,4,3,4,0,0.0
1,Loyal Customer,27,Business travel,Business,4098,1,1,1,1,4,4,4,4,2,4,3,5,3,4,0,0.0
1,Loyal Customer,52,Business travel,Business,1804,3,3,3,3,5,4,5,5,5,5,5,5,5,5,14,12.0
0,Loyal Customer,46,Business travel,Business,360,3,1,1,1,3,3,3,3,3,3,3,3,3,4,0,0.0
1,Loyal Customer,43,Business travel,Eco,1588,4,1,1,1,4,4,4,4,1,4,2,3,4,4,5,29.0
0,Loyal Customer,58,Business travel,Business,1923,2,3,3,3,5,4,4,2,2,2,2,3,2,2,7,0.0
1,Loyal Customer,32,Business travel,Business,3955,1,1,1,1,4,4,4,3,5,3,4,4,5,4,1,0.0
0,Loyal Customer,38,Business travel,Business,1070,3,5,5,5,2,4,4,3,3,3,3,1,3,4,0,0.0
1,Loyal Customer,71,Business travel,Business,2347,1,1,1,1,5,4,2,4,4,4,4,2,4,2,0,0.0
0,disloyal Customer,45,Business travel,Eco,1440,2,4,2,4,5,2,1,5,5,3,3,3,4,5,0,0.0
0,Loyal Customer,35,Business travel,Eco,1136,2,4,4,4,2,2,2,2,4,2,4,4,3,2,0,0.0
0,disloyal Customer,25,Business travel,Eco,1932,2,1,2,4,3,2,3,3,3,3,3,4,3,3,29,29.0
1,Loyal Customer,37,Personal Travel,Eco,2840,5,2,5,3,4,5,4,4,4,4,3,1,3,4,14,0.0
1,Loyal Customer,45,Business travel,Business,2702,1,1,1,1,3,5,4,5,5,5,5,3,5,4,0,0.0
1,Loyal Customer,17,Business travel,Eco Plus,1960,5,3,3,3,5,5,4,5,3,4,1,5,5,5,0,1.0
1,Loyal Customer,57,Business travel,Business,1636,3,3,4,3,3,3,5,3,3,3,3,5,3,3,0,0.0
1,Loyal Customer,52,Business travel,Business,2850,2,2,2,2,2,5,4,4,4,4,4,5,4,3,0,0.0
1,Loyal Customer,60,Business travel,Business,3901,2,2,2,2,5,5,5,5,5,5,5,4,5,4,30,94.0
0,Loyal Customer,10,Personal Travel,Eco,1698,4,4,4,1,4,4,3,4,4,5,5,3,5,4,0,0.0
0,Loyal Customer,63,Business travel,Eco,64,2,4,4,4,4,4,3,2,2,2,2,4,2,4,0,13.0
1,Loyal Customer,48,Business travel,Business,3159,5,5,5,5,4,5,4,4,4,4,4,3,4,5,0,0.0
0,Loyal Customer,71,Business travel,Eco,367,3,4,4,4,3,3,2,3,3,3,3,1,3,3,0,0.0
1,Loyal Customer,51,Business travel,Eco,2203,4,2,1,2,4,4,4,4,4,1,5,1,3,4,14,0.0
0,Loyal Customer,20,Personal Travel,Business,2319,1,5,1,1,2,1,2,2,5,4,5,4,4,2,0,0.0
